"id","adu_numero","adu_seccion","adu_denomina"
"1","01","0","ACAPULCO, ACAPULCO DE JUAREZ, GUERRERO."
"2","01","2","AEROPUERTO INTERNACIONAL GENERAL JUAN N. ALVAREZ, ACAPULCO, GUERRERO."
"3","02","0","AGUA PRIETA, AGUA PRIETA, SONORA."
"4","05","0","SUBTENIENTE LOPEZ, SUBTENIENTE LOPEZ, QUINTANA ROO."
"5","05","1","SUBTENIENTE LOPEZ II ""CHACTEMAL"", OTH"
"6","06","0","CIUDAD DEL CARMEN, CIUDAD DEL CARMEN, CAMPECHE."
"7","06","3","SEYBAPLAYA, CHAMPOTON, CAMPECHE."
"8","07","0","CIUDAD JUAREZ, CIUDAD JUAREZ, CHIHUAHUA."
"9","07","1","PUENTE INTERNACIONAL ZARAGOZA-ISLETA, CIUDAD JUAREZ, CHIHUAHUA."
"10","07","2","SAN JERONIMO-SANTA TERESA, CIUDAD JUAREZ, CHIHUAHUA."
"11","07","3","AEROPUERTO INTERNACIONAL ABRAHAM GONZALEZ, CIUDAD JUAREZ, CHIHUAHUA."
"12","07","4","GUADALUPE-TORNILLO, GUADALUPE DE BRAVO, CHIHUAHUA."
"13","08","0","COATZACOALCOS, COATZACOALCOS, VERACRUZ."
"14","11","0","ENSENADA, ENSENADA, BAJA CALIFORNIA."
"15","12","0","GUAYMAS, GUAYMAS, SONORA."
"16","12","1","AEROPUERTO INTERNACIONAL GENERAL IGNACIO PESQUEIRA GARCIA, HERMOSILLO, SONORA."
"17","12","3","CIUDAD OBREGON ADYACENTE AL AEROPUERTO DE CIUDAD OBREGON, CAJEME, SONORA."
"18","14","0","LA PAZ, LA PAZ, BAJA CALIFORNIA SUR."
"19","14","2","SAN JOSE DEL CABO, LOS CABOS, BAJA CALIFORNIA SUR."
"20","14","3","CABO SAN LUCAS, LOS CABOS, BAJA CALIFORNIA SUR."
"21","14","4","SANTA ROSALIA, MULEGE, BAJA CALIFORNIA SUR."
"22","14","5","LORETO, LORETO, BAJA CALIFORNIA SUR."
"23","14","7","PICHILING"
"24","16","0","MANZANILLO, MANZANILLO, COLIMA."
"25","16","1","ARMER"
"26","17","0","MATAMOROS, MATAMOROS, TAMAULIPAS."
"27","17","1","LUCIO BLANCO-LOS INDIOS, MATAMOROS, TAMAULIPAS."
"28","17","2","SECCION ADUANERA FERROVIARIA DE MATAMOROS."
"29","17","","PUERTO EL MEZQUITAL, MATAMOROS, TAMAULIPAS."
"30","17","","AEROPUERTO INTERNACIONAL GENERAL SERVANDO CANALES, MATAMOROS, TAMAULIPAS."
"31","18","0","MAZATLAN, MAZATLAN, SINALOA."
"32","18","3","TOPOLOBAMPO, AHOME, SINALOA."
"33","18","4","AEROPUERTO INTERNACIONAL DE CULIACAN, CULIACAN, SINALOA."
"34","19","0","MEXICALI, MEXICALI, BAJA CALIFORNIA."
"35","19","2","LOS ALGODONES, MEXICALI, BAJA CALIFORNIA."
"36","19","3","SAN FELIPE, MEXICALI, BAJA CALIFORNIA."
"37","20","0","MEXICO, DISTRITO FEDERAL."
"38","20","2","IMPORTACION Y EXPORTACION DE CONTENEDORES, DELEGACION AZCAPOTZALCO, DISTRITO FEDERAL."
"39","22","0","NACO, NACO, SONORA."
"40","23","0","NOGALES, NOGALES, SONORA."
"41","23","1","SASABE, SARIC, SONORA."
