"pai_clavefiii","pai_clavem3","pai_nombre"
"A1","AFG","AFGANISTAN (EMIRATO ISLAMICO DE)"
"A2","ALB","ALBANIA (REPUBLICA DE)"
"A4","DEU","ALEMANIA (REPUBLICA FEDERAL DE)"
"A7","AND","ANDORRA (PRINCIPADO DE)"
"A8","AGO","ANGOLA (REPUBLICA DE)"
"AI","AIA","ANGUILA"
"A9","ATG","ANTIGUA Y BARBUDA (COMUNIDAD BRITANICA DE NACIONES)"
"B1","ANT","ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR)"
"B2","SAU","ARABIA SAUDITA (REINO DE)"
"B3","DZA","ARGELIA (REPUBLICA DEMOCRATICA Y POPULAR DE)"
"B4","ARG","ARGENTINA (REPUBLICA)"
"AM","ARM","ARMENIA (REPUBLICA DE)"
"A0","ABW","ARUBA (TERRITORIO HOLANDES DE ULTRAMAR)"
"B5","AUS","AUSTRALIA (COMUNIDAD DE)"
"B6","AUT","AUSTRIA (REPUBLICA DE)"
"AZ","AZE","AZERBAIJAN (REPUBLICA AZERBAIJANI)"
"B7","BHS","BAHAMAS (COMUNIDAD DE LAS)"
"B8","BHR","BAHREIN (ESTADO DE)"
"B9","BGD","BANGLADESH (REPUBLICA POPULAR DE)"
"C1","BRB","BARBADOS (COMUNIDAD BRITANICA DE NACIONES)"
"C2","BEL","BELGICA (REINO DE)"
"C3","BLZ","BELICE"
"F9","BEN","BENIN (REPUBLICA DE)"
"C4","BMU","BERMUDAS"
"BY","BLR","BIELORRUSIA (REPUBLICA DE)"
"C6","BOL","BOLIVIA (REPUBLICA DE)"
"X7","BIH","BOSNIA Y HERZEGOVINA"
"C7","BWA","BOTSWANA (REPUBLICA DE)"
"C8","BRA","BRASIL (REPUBLICA FEDERATIVA DE)"
"C9","BRN","BRUNEI (ESTADO DE) (RESIDENCIA DE PAZ)"
"D1","BGR","BULGARIA (REPUBLICA DE)"
"A6","BFA","BURKINA FASO"
"D2","BDI","BURUNDI (REPUBLICA DE)"
"D3","BTN","BUTAN (REINO DE)"
"D4","CPV","CABO VERDE (REPUBLICA DE)"
"F4","TCD","CHAD (REPUBLICA DEL)"
"D6","CYM","CAIMAN (ISLAS)"
"D7","KHM","CAMBOYA (REINO DE)"
"D8","CMR","CAMERUN (REPUBLICA DEL)"
"D9","CAN","CANADA"
"E1","RKE","CANAL, ISLAS DEL (ISLAS NORMANDAS)"
"F6","CHL","CHILE (REPUBLICA DE)"
"Z3","CHN","CHINA (REPUBLICA POPULAR)"
"F8","CYP","CHIPRE (REPUBLICA DE)"
"E2","CIA","CIUDAD DEL VATICANO (ESTADO DE LA)"
"E3","CCK","COCOS (KEELING, ISLAS AUSTRALIANAS)"
"E4","COL","COLOMBIA (REPUBLICA DE)"
"E5","COM","COMORAS (ISLAS)"
"EU","EMU","COMUNIDAD EUROPEA"
"E6","COG","CONGO (REPUBLICA DEL)"
"E7","COK","COOK (ISLAS)"
"E9","PRK","COREA (REPUBLICA POPULAR DEMOCRATICA DE) (COREA DEL NORTE)"
"E8","KOR","COREA (REPUBLICA DE) (COREA DEL SUR)"
"F1","CIV","COSTA DE MARFIL (REPUBLICA DE LA)"
"F2","CRI","COSTA RICA (REPUBLICA DE)"
"HR","HRV","CROACIA (REPUBLICA DE)"
"F3","CUB","CUBA (REPUBLICA DE)"
"D0","CUR","CURAZAO (TERRITORIO HOLANDES DE ULTRAMAR)"
"G1","DNK","DINAMARCA (REINO DE)"
"V4","DJI","DJIBOUTI (REPUBLICA DE)"
"G2","DMA","DOMINICA (COMUNIDAD DE)"
"G3","ECU","ECUADOR (REPUBLICA DEL)"
"G4","EGY","EGIPTO (REPUBLICA ARABE DE)"
"G5","SLV","EL SALVADOR (REPUBLICA DE)"
"G6","ARE","EMIRATOS ARABES UNIDOS"
"ER","ERI","ERITREA (ESTADO DE)"
"SI","SVN","ESLOVENIA (REPUBLICA DE)"
"G7","ESP","ESPA"
"FM","DSM","ESTADO FEDERADO DE MICRONESIA"
"G8","USA","ESTADOS UNIDOS DE AMERICA"
"G0","EST","ESTONIA (REPUBLICA DE)"
"G9","ETH","ETIOPIA (REPUBLICA DEMOCRATICA FEDERAL)"
"H1","FJI","FIDJI (REPUBLICA DE)"
"H3","PHL","FILIPINAS (REPUBLICA DE LAS)"
"H4","FIN","FINLANDIA (REPUBLICA DE)"
"H5","FRA","FRANCIA (REPUBLICA FRANCESA)"
"GZ","GZA","FRANJA DE GAZA"
"H6","GAB","GABONESA (REPUBLICA)"
"H7","GMB","GAMBIA (REPUBLICA DE LA)"
"GE","GEO","GEORGIA (REPUBLICA DE)"
"H8","GHA","GHANA (REPUBLICA DE)"
"GI","GIB","GIBRALTAR (R.U.)"
"I1","GRD","GRANADA"
"I2","GRC","GRECIA (REPUBLICA HELENICA)"
"GL","GRL","GROENLANDIA (DINAMARCA)"
"I4","GLP","GUADALUPE (DEPARTAMENTO DE)"
"I5","GUM","GUAM (E.U.A.)"
