"cpe_clave","cpe_descrip","cpe_usos","cpe_regi","cpe_rege","cpe_import","cpe_export","cpe_peps","cpe_px","cpe_dirigido","cpe_ps"
"A1","IMPORTACION O EXPORTACION DEFINITIVA.","","","","","","","","",""
"A3","REGULARIZACION DE MERCANCIAS (IMPORTACION DEFINITIVA).","","","","","","","","",""
"C1","IMPORTACION DEFINITIVA A LA FRANJA FRONTERIZA NORTE Y REGION FRONTERIZA AL AMPARO DEL DECRETO DE LA FRANJA O REGION FRONTERIZA","","","","","","","","",""
"D1","RETORNO POR SUSTITUCION.","","","","","","","","",""
"GC","GLOBAL COMPLEMENTARIO.","","","","","","","","",""
"K1","DESISTIMIENTO DE REGIMEN Y RETORNO DE MERCANCIAS POR DEVOLUCION.","","","","","","","","",""
"L1","PEQUEÑA IMPORTACION DEFINITIVA.","","","","","","","","",""
"P1","REEXPEDICION DE MERCANCIAS DE FRANJA FRONTERIZA O REGION FRONTERIZA AL INTERIOR DEL PAIS.","","","","","","","","",""
"S2","IMPORTACION Y EXPORTACION DE MERCANCIAS PARA RETORNAR EN SU MISMO ESTADO (ARTICULO 86","","","","","","","","",""
"T1","IMPORTACION Y EXPORTACION POR EMPRESAS DE MENSAJERIA.","","","","","","","","",""
"VF","IMPORTACION DEFINITIVA DE VEHICULOS USADOS A LA FRANJA O REGION FRONTERIZA NORTE.","","","","","","","","",""
"VU","IMPORTACION DEFINITIVA DE VEHICULOS USADOS.","","","","","","","","",""
"V1","TRANSFERENCIAS DE MERCANCIAS (IMPORTACION TEMPORAL VIRTUAL; INTRODUCCION VIRTUAL A DEPOSITO FISCAL O A RECINTO FISCALIZADO ESTRATEGICO; RETORNO VIRTUAL; EXPORTACION VIRTUAL DE PROVEEDORES NACIONALES).","","","","","","","","",""
"V2","TRANSFERENCIAS DE MERCANCIAS IMPORTADAS CON CUENTA ADUANERA (EXPORTACION E IMPORTACION VIRTUAL).","","","","","","","","",""
"V5","TRANSFERENCIAS DE MERCANCIAS DE EMPRESAS CERTIFICADAS (RETORNO VIRTUAL PARA IMPORTACION DEFINITIVA).","","","","","","","","",""
"V6","TRANSFERENCIAS DE MERCANCIAS SUJETAS A CUPO (IMPORTACION DEFINITIVA Y RETORNO VIRTUAL).","","","","","","","","",""
"V7","TRANSFERENCIAS DEL SECTOR AZUCARERO (EXPORTACION VIRTUAL E IMPORTACION TEMPORAL VIRTUAL).","","","","","","","","",""
"V9","TRANSFERENCIAS DE MERCANCIAS POR DONACION (IMPORTACION DEFINITIVA Y RETORNO VIRTUAL).","","","","","","","","",""
"VD","VIRTUALES DIVERSOS.","","","","","","","","",""
"AD","IMPORTACION TEMPORAL DE MERCANCIAS DESTINADAS A CONVENCIONES Y CONGRESOS INTERNACIONALES (ARTICULO 106,","","","","","","","","",""
"AJ","IMPORTACION Y EXPORTACION TEMPORAL DE ENVASES DE MERCANCIAS (ARTICULOS 106, FRACCION II, INCISO B) Y 116, FRACCION II, INCISO A) DE LA LEY).","","","","","","","","",""
"BA","IMPORTACION Y EXPORTACION TEMPORAL DE BIENES PARA SER RETORNADOS EN SU MISMO ESTADO. (ARTICULO 106, FRACCION II, INCISO A) YFRACCIÓN IV, INCISO B) DE LA LEY).","","","","","","","","",""
"BB","EXPORTACION, IMPORTACION Y RETORNOS VIRTUALES.","","","","","","","","",""
"BC","IMPORTACION Y EXPORTACION TEMPORAL DE MERCANCIAS DESTINADAS A EVENTOS CULTURALES O DEPORTIVOS (ARTICULO 106, FRACCION III, INCISO BDE LA LEY).","","","","","","","","",""
"BD","IMPORTACION Y EXPORTACION TEMPORAL DE EQUIPO PARA FILMACION (ARTICULOS 106,","","","","","","","","",""
"BE","IMPORTACION Y EXPORTACION TEMPORAL DE VEHICULOS DE PRUEBA (ARTICULO 106,","","","","","","","","",""
"BF","EXPORTACION TEMPORAL DE MERCANCIAS DESTINADAS A EXPOSICIONES, CONVENCIONES O EVENTOS CULTURALES O DEPORTIVOS (ARTICULO 116,FRACCION III","","","","","","","","",""
"BH","IMPORTACION TEMPORAL DE CONTENEDORES, AVIONES, HELICOPTEROS, EMBARCACIONES Y CARROS DE FERROCARRIL ( ARTICULO 106, FRACCION V,INCISOS A), B) Y E) DE LA LEY).","","","","","","","","",""
"BI","IMPORTACION TEMPORAL (ARTICULO 106, FRACCION III, INCISO E) DE LA LEY).","","","","","","","","",""
"BM","EXPORTACION TEMPORAL DE MERCANCIAS PARA SU TRANSFORMACION, ELABORACION O REPARACION (ARTICULO 117 DE LA LEY).","","","","","","","","",""
"BO","EXPORTACION TEMPORAL PARA REPARACION O SUSTITUCION Y RETORNO AL PAIS (IMMEX, RFE Y EMPRESAS CERTIFICADAS).","","","","","","","","",""
"BP","IMPORTACION Y EXPORTACION TEMPORAL DE MUESTRAS O MUESTRARIOS (ARTICULOS 106, FRACCION II, INCISO D) Y 116, FRACCION II, INCISO C) DE LA LEY).","","","","","","","","",""
"BR","EXPORTACION TEMPORAL Y RETORNO DE MERCANCIAS FUNGIBLES.","","","","","","","","",""
