"fra_fraccion","fra_descrip1","fra_descrip2","fra_descrip3","fra_unidad","fra_advotr"
"0101.10.01","CABALLOS.","CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS.","ANIMALES VIVOS","7","10"
"0101.10.99","LOS DEMÁS.","CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS.","ANIMALES VIVOS","7","20"
"0101.90.01","CABALLOS PARA SALTOS O CARRERAS.","CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS.","ANIMALES VIVOS","7","20"
"0101.90.02","CABALLOS SIN PEDIGREE, PARA REPRODUCCI'ON.","CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS.","ANIMALES VIVOS","7","10"
"0101.90.03","CABALLOS PARA ABASTO, CUANDO LA IMPORTACIÓN LA REALICEN EMPACADORAS TIPO INSPECCIÓN FEDERAL.","CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS.","ANIMALES VIVOS","7","10"
"0101.90.99","LOS DEMÁS","CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS.","ANIMALES VIVOS","7","20"
"0102.10.01","REPRODUCTORES DE RAZA PURA.","ANIMALES VIVOS DE LA ESPECIE BOVINA.","ANIMALES VIVOS","7",""
"0102.90.01","VACAS LECHERAS.","ANIMALES VIVOS DE LA ESPECIE BOVINA.","ANIMALES VIVOS","7",""
"0102.90.02","CON PEDIGREE O CERTIFICADO DE ALTO REGISTRO, EXCEPTO LO COMPRENDIDO EN LA FRACCIÓN 0102.90.01.","ANIMALES VIVOS DE LA ESPECIE BOVINA.","ANIMALES VIVOS","7",""
"0102.90.03","BOVINOS PARA ABASTO, CUANDO SEAN IMPORTADOS POR INDUSTRIAL DE ABASTOS.","ANIMALES VIVOS DE LA ESPECIE BOVINA.","ANIMALES VIVOS","7","15"
"0102.90.99","LOS DEMÁS.","ANIMALES VIVOS DE LA ESPECIE BOVINA.","ANIMALES VIVOS","7","15"
"0103.10.01","REPRODUCTORES DE RAZA PURA.","ANIMALES VIVOS DE LA ESPECIE PORCINA.","ANIMALES VIVOS","7",""
"0103.91.01","CON PEDIGREE O CERTIFICADO DE ALTO REGISTRO.","ANIMALES VIVOS DE LA ESPECIE PORCINA.","ANIMALES VIVOS","7","9"
"0103.91.02","PECARÍS.","ANIMALES VIVOS DE LA ESPECIE PORCINA.","ANIMALES VIVOS","7","20"
"0103.91.99","LOS DEMÁS.","ANIMALES VIVOS DE LA ESPECIE PORCINA.","ANIMALES VIVOS","7","20"
"0103.92.01","CON PEDIGREE O CERTIFICADO DE ALTO REGISTRO.","ANIMALES VIVOS DE LA ESPECIE PORCINA.","ANIMALES VIVOS","7","9"
