"reg_clave","reg_descrip"
"IMD","DEFINITIVOS DE IMPORTACION."
"EXD","DEFINITIVO DE EXPORTACION."
"ITR","TEMPORALES DE IMPORTACION PARA RETORNAR AL EXTRANJERO EN EL MISMO ESTADO."
"ITE","TEMPORALES DE IMPORTACION PARA ELABORACION, TRANSFORMACION O REPARACION PARA EMPRESAS CON PROGRAMA IMMEX."
"ETR","TEMPORALES DE EXPORTACION PARA RETORNAR AL PAIS EN EL MISMO ESTADO."
"ETE","TEMPORALES DE EXPORTACION PARA ELABORACION, TRANSFORMACION O REPARACION."
"DFI","DEPOSITO FISCAL."
"RFE","ELABORACION, TRANSFORMACION O REPARACION EN RECINTO FISCALIZADO."
"TRA","TRANSITOS."
"RFS","RECINTO FISCALIZADO ESTRATEGICO."
