"tpc_value","tpc_fecha"
"14.7635","2014-12-15"
"14.7499","2014-12-16"
"14.6028","2014-12-17"
"14.5562","2014-12-18"
"14.6378","2014-12-19"
"14.6359","2014-12-22"
"14.7008","2014-12-23"
"14.6955","2014-12-26"
"14.718","2014-12-29"
"14.7348","2014-12-30"
"14.7414","2014-12-31"
"14.829","2015-01-02"
"14.9469","2015-01-05"
"14.8479","2015-01-06"
"14.7936","2015-01-07"
"14.6274","2015-01-08"
"14.5804","2015-01-09"
"14.6398","2015-01-12"
"14.5559","2015-01-13"
"14.5644","2015-01-14"
"14.5821","2015-01-15"
"14.6223","2015-01-16"
"14.6524","2015-01-19"
"14.6484","2015-01-20"
"14.6983","2015-01-21"
"14.612","2015-01-22"
"14.6499","2015-01-23"
"14.5887","2015-01-26"
"14.5872","2015-01-27"
"14.6878","2015-01-28"
"14.8414","2015-01-29"
"14.9885","2015-01-30"
"14.7566","2015-02-03"
"14.8011","2015-02-04"
"14.7548","2015-02-05"
"14.9024","2015-02-06"
"14.8014","2015-02-09"
"14.9309","2015-02-10"
"15.1099","2015-02-11"
"14.9167","2015-02-12"
"14.8971","2015-02-17"
"14.9473","2015-02-18"
"15.0832","2015-02-23"
"14.9553","2015-02-27"
"14.9862","2015-03-02"
"14.9544","2015-03-03"
"15.0756","2015-03-04"
"15.1686","2015-03-05"
"15.4445","2015-03-06"
"15.4544","2015-03-09"
"15.5837","2015-03-10"
"15.4455","2015-03-11"
"15.4003","2015-03-12"
"15.4892","2015-03-13"
"15.4271","2015-03-17"
"15.4192","2015-03-18"
"15.296","2015-03-19"
"15.0317","2015-03-20"
"14.9644","2015-03-23"
"14.9347","2015-03-24"
"14.9524","2015-03-25"
"15.1056","2015-03-26"
"15.1542","2015-03-27"
"15.2427","2015-03-30"
"15.2647","2015-03-31"
"15.1206","2015-04-01"
"14.8003","2015-04-06"
"14.9039","2015-04-07"
"14.9072","2015-04-08"
"15.0554","2015-04-09"
"15.1706","2015-04-10"
"15.2947","2015-04-13"
"15.2339","2015-04-14"
"15.3891","2015-04-15"
"15.2455","2015-04-16"
"15.3128","2015-04-17"
"15.3973","2015-04-20"
"15.3837","2015-04-21"
"15.3539","2015-04-23"
"15.3834","2015-04-24"
"15.3714","2015-04-30"
"15.494","2015-05-04"
"15.3225","2015-05-05"
"15.2825","2015-05-06"
"15.3397","2015-05-07"
"15.1424","2015-05-08"
"15.2624","2015-05-11"
"15.3211","2015-05-12"
"15.2213","2015-05-13"
"15.1235","2015-05-14"
"15.0225","2015-05-15"
"15.12","2015-05-18"
"15.2008","2015-05-19"
"15.212","2015-05-20"
"15.2918","2015-05-22"
"15.2635","2015-05-25"
"15.3235","2015-05-26"
"15.3581","2015-05-27"
"15.3815","2015-05-29"
"15.4845","2015-06-01"
"15.6958","2015-06-05"
"15.5645","2015-06-09"
"15.4409","2015-06-11"
"15.4129","2015-06-12"
"15.4192","2015-06-16"
"15.4199","2015-06-17"
"15.2828","2015-06-18"
"15.3274","2015-06-19"
"15.3072","2015-06-22"
"15.4088","2015-06-23"
"15.4555","2015-06-24"
"15.4816","2015-06-25"
"15.5676","2015-06-26"
"15.6854","2015-06-30"
"15.7829","2015-07-01"
"15.6599","2015-06-29"
"15.6821","2015-07-02"
"15.6918","2015-07-03"
"15.753","2015-07-06"
"15.8281","2015-07-07"
"15.8174","2015-07-08"
"15.7856","2015-07-09"
"15.7329","2015-07-10"
"15.9121","2015-07-17"
"16.0772","2015-07-31"
"16.1645","2015-08-07"
"16.1652","2015-08-10"
"16.3541","2015-08-13"
"16.3658","2015-08-14"
"16.3993","2015-08-17"
"16.4317","2015-08-18"
"16.9859","2015-08-25"
"16.8863","2015-08-27"
"16.7684","2015-08-28"
"16.7829","2015-08-31"
"16.8692","2015-09-01"
"16.8454","2015-09-04"
"16.988","2015-09-07"
"16.7979","2015-09-08"
"16.8261","2015-09-11"
"16.8168","2015-09-14"
"17.0073","2015-09-28"
"16.418","2015-10-09"
"16.4219","2015-10-12"
"16.4219","2015-10-12"
"16.5848","2015-10-13"
"16.3959","2015-10-16"
"16.4899","2015-10-19"
"16.66","2015-10-21"
"16.5284","2015-10-22"
"16.5138","2015-10-23"
"16.4998","2015-10-26"
"16.5244","2015-10-30"
"16.4196","2015-11-03"
"16.5147","2015-11-04"
"16.7406","2015-11-12"
"16.5784","2015-11-27"
"16.7095","2015-12-03"
"16.6757","2015-12-04"
"17.0164","2015-12-08"
"17.3776","2015-12-14"
"17.1953","2015-12-23"
"17.271","2015-12-28"
"17.3398","2015-12-30"
"17.3529","2016-01-04"
"17.3456","2016-01-05"
"18.2108","2016-01-15"
"18.2327","2016-01-18"
"18.2906","2016-01-28"
"18.1935","2016-01-29"
"19.1754","2016-02-11"
"17.7526","2016-03-07"
"17.9044","2016-03-08"
"17.2995","2016-03-18"
"17.4598","2016-04-18"
"18.4444","2016-05-23"
"18.4694","2016-05-24"
"18.452","2016-05-25"
"18.4572","2016-05-26"
"18.4777","2016-05-30"
"18.4118","2016-05-31"
"18.5299","2016-06-01"
"18.6097","2016-06-02"
"18.6283","2016-06-03"
"18.5889","2016-06-06"
"18.5067","2016-06-07"
"18.1491","2016-06-08"
"18.8527","2016-06-17"
"18.6559","2016-06-20"
"18.3207","2016-06-23"
"18.9113","2016-06-28"
"18.555","2016-06-29"
"18.4646","2016-06-30"
"18.309","2016-07-01"
"18.3858","2016-07-04"
"18.7536","2016-07-05"
"18.5991","2016-07-08"
"18.4597","2016-07-11"
"18.3006","2016-07-12"
"18.492","2016-07-15"
"18.4879","2016-07-18"
"18.5719","2016-07-19"
"18.5729","2016-07-20"
"18.6022","2016-07-21"
"18.6089","2016-07-22"
"18.7569","2016-07-25"
"18.8114","2016-07-26"
"18.8602","2016-07-27"
"18.8979","2016-07-28"
"18.7837","2016-07-29"
"18.8504","2016-08-01"
"18.8966","2016-08-02"
"18.9117","2016-08-03"
"18.8612","2016-08-04"
"18.8691","2016-08-05"
"18.5716","2016-08-08"
"18.3479","2016-08-10"
"18.2678","2016-08-11"
"18.2455","2016-08-12"
"18.0363","2016-08-15"
"18.0363","2016-08-15"
"17.9869","2016-08-16"
"18.2598","2016-08-17"
"18.0832","2016-08-18"
"18.2674","2016-08-19"
"18.3023","2016-08-22"
"18.4971","2016-08-24"
"18.446","2016-08-25"
"18.283","2016-08-26"
"18.5773","2016-08-29"
"18.7953","2016-08-30"
"18.8611","2016-08-31"
"18.8523","2016-09-01"
"18.6589","2016-09-02"
"18.5581","2016-09-05"
"18.3524","2016-09-06"
"18.5427","2016-09-08"
"18.8451","2016-09-09"
"19.0646","2016-09-12"
"19.152","2016-09-13"
"19.2275","2016-09-14"
"19.2514","2016-09-15"
"19.8394","2016-09-21"
"19.5965","2016-09-22"
"19.7211","2016-09-23"
"19.8322","2016-09-26"
"19.5044","2016-09-27"
"19.5002","2016-09-28"
"19.4086","2016-09-29"
"19.3776","2016-09-30"
"19.3211","2016-10-03"
"19.2138","2016-10-04"
"19.2994","2016-10-07"
"18.8786","2016-10-10"
"19.0046","2016-10-14"
"18.8723","2016-10-17"
"18.6726","2016-10-18"
"18.5894","2016-10-19"
"18.5945","2016-10-20"
"18.5658","2016-10-24"
