ADUANA,PATENTE,PEDIMENTO,FECHA DE PAGO
470,3136,2000222,06/01/2012
470,3136,2000278,10/01/2012
240,3135,2001172,12/01/2012
240,3135,2001977,12/01/2012
240,3135,2002311,12/01/2012
240,3135,2002750,12/01/2012
240,3135,2002769,12/01/2012
240,3135,2004028,20/01/2012
240,3135,2004163,20/01/2012
240,3135,2004628,27/01/2012
240,3135,2005073,27/01/2012
470,3136,2000666,31/01/2012
470,3136,2000697,31/01/2012
240,3135,2005682,01/02/2012
240,3135,2006090,03/02/2012
240,3135,2008129,17/02/2012
240,3135,2008280,17/02/2012
240,3135,2014483,26/03/2012
240,3135,2010031,27/03/2012
240,3135,2013215,27/03/2012
240,3135,2013389,27/03/2012
240,3135,2013392,27/03/2012
240,3135,2013718,27/03/2012
240,3135,2014667,27/03/2012
240,3135,2014959,27/03/2012
240,3135,2014999,27/03/2012
240,3135,2015060,27/03/2012
470,3136,2001972,29/03/2012
470,3136,2002321,29/03/2012
240,3135,2015005,30/03/2012
240,3135,2015278,30/03/2012
240,3135,2015458,30/03/2012
240,3135,2015582,30/03/2012
240,3135,2015629,30/03/2012
240,3135,2015841,30/03/2012
240,3135,2015906,04/04/2012
240,3135,2016087,04/04/2012
240,3135,2017161,10/04/2012
470,3136,2002732,12/04/2012
240,3135,2017928,13/04/2012
240,3135,2017981,13/04/2012
240,3135,2017457,16/04/2012
240,3135,2018313,16/04/2012
240,3135,2018565,18/04/2012
240,3135,2018566,18/04/2012
240,3135,2018843,20/04/2012
240,3135,2019020,20/04/2012
240,3135,2019130,23/04/2012
240,3135,2019131,23/04/2012
240,3135,2019132,23/04/2012
470,3136,2003016,23/04/2012
470,3136,2003089,26/04/2012
240,3135,2020017,27/04/2012
240,3135,2024150,24/05/2012
240,3135,2024153,24/05/2012
240,3135,2024778,31/05/2012
470,3136,2004218,06/06/2012
240,3135,2027061,14/06/2012
240,3135,2028370,21/06/2012
470,3136,2004667,21/06/2012
240,3135,2036469,16/08/2012
240,3135,2036993,21/08/2012
470,3136,2006611,23/08/2012
240,3135,2038206,04/09/2012
240,3663,2004766,14/09/2012
470,3136,2007866,27/09/2012
240,3663,2006781,02/10/2012
240,3663,2007932,05/10/2012
470,3136,2008359,08/10/2012
240,3663,2008752,16/10/2012
240,3663,2008892,16/10/2012
470,3136,2008736,17/10/2012
240,1634,2002066,29/10/2012
240,1634,2002292,29/10/2012
240,3009,2029206,30/10/2012
240,1634,2002875,01/11/2012
240,1634,2002877,01/11/2012
240,1634,2003307,07/11/2012
240,1634,2003392,07/11/2012
470,3616,2008412,13/11/2012
240,1634,2003957,15/11/2012
240,3009,2030473,20/11/2012
240,1634,2004678,21/11/2012
240,3009,2030704,26/11/2012
470,3616,2008907,26/11/2012
240,1634,2005304,29/11/2012
240,1634,2005525,29/11/2012
240,3009,2030749,29/11/2012
240,3009,2031061,29/11/2012
240,3009,2031398,04/12/2012
240,3009,2031861,11/12/2012
240,3009,2032039,13/12/2012
240,3009,2032446,18/12/2012
470,3616,2010082,18/12/2012
240,3009,2032613,20/12/2012
240,1634,2008820,26/12/2012
240,3009,2032824,26/12/2012
